race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,StudentId,Target
group E,some high school,free/reduced,completed,73,67,59,390,male
group C,some college,standard,completed,98,86,90,104,male
group E,bachelor's degree,standard,completed,99,100,100,114,female
group C,associate's degree,standard,none,74,73,67,417,male
group E,some college,standard,none,68,60,59,525,male
group D,associate's degree,free/reduced,none,53,54,48,457,male
group D,associate's degree,standard,completed,87,84,85,409,male
group C,high school,standard,none,71,79,71,92,male
group C,some college,free/reduced,completed,67,74,70,930,male
group D,some high school,standard,none,73,86,82,89,female
group D,some high school,standard,completed,76,70,69,336,male
group A,some high school,free/reduced,none,44,45,45,988,female
group C,high school,free/reduced,none,35,53,46,921,female
group C,bachelor's degree,free/reduced,completed,70,75,74,933,male
group C,some high school,standard,none,75,72,62,605,male
group E,high school,standard,none,74,76,73,593,female
group C,some college,standard,none,58,59,66,611,female
group B,some college,standard,none,79,86,92,94,female
group D,associate's degree,standard,none,40,52,43,11,male
group B,high school,free/reduced,none,50,67,63,396,female
group E,associate's degree,standard,completed,79,88,94,533,female
group B,some college,free/reduced,completed,59,65,66,43,male
group B,associate's degree,standard,none,53,58,65,42,female
group B,some high school,standard,none,41,55,51,329,female
group B,master's degree,free/reduced,completed,58,76,78,167,female
group D,some college,free/reduced,completed,59,78,76,497,female
group D,some college,standard,none,81,82,84,876,male
group A,some high school,standard,none,53,54,48,597,male
group D,some college,standard,none,55,58,52,756,male
group B,some college,standard,none,79,67,67,100,male
group C,bachelor's degree,standard,none,86,83,86,426,male
group B,master's degree,free/reduced,completed,52,70,62,178,female
group A,some high school,free/reduced,none,79,82,73,444,male
group C,bachelor's degree,standard,completed,71,74,68,416,male
group B,high school,standard,none,59,58,47,870,male
group B,high school,free/reduced,none,64,73,71,882,female
group D,high school,standard,none,67,72,74,680,female
group C,associate's degree,standard,completed,71,77,77,177,female
group A,high school,free/reduced,none,48,45,41,395,male
group A,some college,standard,none,69,84,82,911,female
group E,some high school,standard,completed,89,84,77,793,male
group A,some college,standard,none,56,58,64,960,female
group B,some college,standard,completed,62,66,68,684,male
group E,some high school,free/reduced,none,38,49,45,383,female
group C,some college,standard,none,84,87,81,956,male
group E,some college,standard,none,68,72,65,751,male
group C,associate's degree,standard,completed,78,77,77,257,male
group E,bachelor's degree,standard,completed,85,66,71,538,male
group B,some college,free/reduced,none,61,68,66,335,female
group C,some high school,standard,none,69,75,78,15,female
group C,high school,free/reduced,none,41,46,43,324,female
group D,some college,free/reduced,completed,52,59,65,758,female
group C,some high school,free/reduced,none,55,65,62,222,female
group D,some high school,standard,completed,97,100,100,179,female
group A,some college,standard,completed,78,87,91,983,female
group D,some college,standard,none,44,54,53,22,male
group A,associate's degree,standard,none,63,61,61,356,male
group C,some college,free/reduced,completed,63,73,71,666,female
group E,master's degree,free/reduced,none,81,86,87,861,female
group C,high school,free/reduced,none,58,61,52,340,male
group C,high school,standard,none,61,72,70,431,female
group B,bachelor's degree,free/reduced,completed,87,90,88,551,male
group B,high school,standard,completed,77,82,89,833,female
group B,associate's degree,standard,none,57,69,68,203,female
group D,some college,standard,none,67,64,70,630,male
group C,associate's degree,free/reduced,completed,43,45,50,93,male
group B,associate's degree,free/reduced,none,53,70,70,558,female
group B,associate's degree,free/reduced,none,61,58,56,68,male
group C,high school,free/reduced,completed,58,51,52,622,male
group B,some high school,standard,none,37,46,46,284,female
group D,some high school,free/reduced,completed,40,65,64,844,female
group C,some high school,standard,none,73,66,66,434,male
group D,bachelor's degree,standard,none,54,49,47,153,male
group B,associate's degree,free/reduced,none,44,41,38,75,male
group B,associate's degree,free/reduced,completed,68,77,80,730,female
group D,some college,free/reduced,none,69,66,60,446,male
group B,some high school,free/reduced,none,48,52,45,188,male
group C,some college,standard,none,58,49,42,271,male
group D,bachelor's degree,free/reduced,none,63,66,67,236,male
group C,associate's degree,free/reduced,none,60,75,74,487,female
group D,bachelor's degree,standard,none,78,82,79,117,female
group A,some high school,free/reduced,completed,61,62,61,943,male
group D,some high school,free/reduced,none,62,49,52,512,male
group C,high school,standard,none,62,67,58,825,male
group A,some high school,standard,none,71,62,50,591,male
group B,some high school,standard,none,72,68,67,126,male
group B,bachelor's degree,free/reduced,none,75,85,82,116,female
group D,some high school,standard,none,59,67,61,473,female
group D,associate's degree,standard,none,77,77,73,693,female
group D,associate's degree,standard,none,52,55,49,57,male
group C,some college,standard,completed,71,71,80,863,female
group C,bachelor's degree,standard,completed,52,61,66,912,female
group D,some high school,standard,none,73,84,85,369,female
group D,associate's degree,standard,completed,88,92,95,268,female
group A,associate's degree,standard,completed,55,65,62,46,female
group E,associate's degree,standard,none,87,74,76,349,male
group D,associate's degree,standard,none,61,55,52,195,male
group D,some college,free/reduced,none,77,86,86,999,female
group B,some college,standard,none,58,50,45,834,male
group C,associate's degree,standard,none,92,79,84,736,male
group E,high school,standard,none,99,93,90,263,female
group B,associate's degree,standard,none,73,83,76,443,female
group B,some college,standard,completed,50,64,66,675,female
group C,associate's degree,standard,completed,74,75,83,304,female
group C,high school,standard,none,61,73,63,341,female
group A,some high school,standard,completed,66,68,64,966,male
group E,associate's degree,free/reduced,completed,100,100,93,149,male
group E,some college,standard,none,83,80,73,124,male
group E,some high school,free/reduced,none,72,79,77,786,female
group E,some college,standard,none,53,55,48,50,male
group C,associate's degree,standard,none,46,58,57,353,female
group D,high school,free/reduced,completed,65,61,71,927,female
group E,some college,free/reduced,completed,42,55,54,142,female
group C,associate's degree,standard,completed,83,85,90,470,female
group D,some high school,standard,none,60,59,54,399,male
group D,some college,standard,completed,100,97,99,625,male
group C,high school,free/reduced,completed,67,79,84,320,female
group C,associate's degree,free/reduced,none,54,58,61,19,female
group B,bachelor's degree,standard,none,59,54,51,809,male
group B,high school,standard,none,48,62,60,790,female
group C,high school,standard,none,90,75,69,808,male
group B,associate's degree,standard,none,82,80,77,407,female
group D,high school,standard,none,51,66,62,537,female
group C,high school,free/reduced,none,35,61,54,620,female
group D,associate's degree,free/reduced,completed,75,90,88,38,female
group C,master's degree,standard,completed,81,91,87,175,female
group C,associate's degree,standard,none,85,76,71,245,male
group D,some high school,free/reduced,completed,69,86,81,828,female
group B,bachelor's degree,free/reduced,none,77,85,87,667,female
group C,associate's degree,free/reduced,none,58,55,53,754,male
group B,high school,standard,completed,52,49,46,858,male
group D,some high school,standard,none,62,67,61,154,male
group B,some high school,standard,none,67,89,82,287,female
group E,some college,standard,none,76,78,80,602,female
group D,bachelor's degree,free/reduced,none,68,68,67,569,male
group C,associate's degree,standard,completed,59,73,72,743,female
group B,some high school,free/reduced,none,18,32,28,17,female
group D,some college,standard,completed,65,77,74,127,male
group C,some college,standard,none,71,81,80,322,female
group E,some college,standard,none,62,73,70,255,female
group D,some high school,standard,none,69,66,61,657,male
group D,some college,standard,none,72,57,58,964,male
group E,associate's degree,standard,none,66,65,69,190,female
group C,high school,standard,none,84,77,74,115,male
group E,bachelor's degree,standard,none,37,45,38,616,female
group C,associate's degree,standard,none,85,84,82,606,female
group C,master's degree,free/reduced,completed,62,68,75,180,male
group D,some high school,free/reduced,none,56,54,52,301,male
group B,some college,standard,completed,69,77,77,759,male
group D,some college,standard,none,98,100,99,712,female
group C,high school,standard,none,50,48,42,723,male
group E,master's degree,standard,completed,94,99,100,685,female
group C,associate's degree,standard,none,91,95,94,979,female
group E,some college,standard,completed,66,74,73,517,female
group C,some high school,standard,none,74,75,82,984,female
group B,associate's degree,standard,none,65,54,57,45,male
group E,bachelor's degree,standard,completed,70,64,70,909,male
group B,some college,free/reduced,none,60,60,60,157,male
group A,high school,standard,none,61,68,63,851,female
group E,some high school,standard,none,94,88,78,171,male
group C,high school,standard,none,88,89,86,16,male
group A,some high school,standard,none,64,50,43,511,male
group D,associate's degree,free/reduced,completed,57,74,76,48,female
group C,some high school,standard,completed,78,72,69,971,male
group C,master's degree,free/reduced,completed,72,66,72,940,male
group C,some high school,standard,completed,76,87,85,515,female
group E,some high school,free/reduced,none,74,74,72,952,female
group B,high school,standard,completed,73,71,68,480,male
group D,some college,free/reduced,completed,70,78,78,283,female
group C,high school,standard,none,76,76,74,718,female
group C,some high school,standard,none,57,61,54,877,male
group E,master's degree,free/reduced,none,45,56,54,225,female
group B,some college,standard,none,69,54,55,26,male
group C,some college,standard,none,62,69,69,954,female
group D,associate's degree,free/reduced,none,75,66,73,437,male
group D,some college,standard,completed,75,77,83,951,female
group C,some college,standard,none,59,60,58,364,male
group C,some college,standard,completed,88,95,94,229,female
group D,some high school,free/reduced,none,50,64,59,37,female
group D,some college,standard,none,62,70,72,965,female
group D,bachelor's degree,standard,none,59,70,73,374,female
group C,some college,standard,none,91,74,76,469,male
group C,some college,standard,none,63,63,60,967,male
group C,master's degree,standard,none,71,67,67,850,male
group B,some high school,free/reduced,completed,59,63,64,704,female
group C,some high school,standard,none,64,58,51,841,male
group C,master's degree,standard,completed,69,84,85,194,female
group C,some high school,standard,none,62,64,55,854,male
group C,associate's degree,standard,none,97,93,91,864,male
group E,associate's degree,standard,completed,95,89,92,503,female
group B,bachelor's degree,standard,none,75,84,80,969,female
group A,some college,free/reduced,none,61,60,57,830,female
group D,master's degree,standard,none,53,61,68,579,female
group E,associate's degree,standard,none,68,76,67,968,female
group B,master's degree,free/reduced,none,49,53,52,162,male
group C,bachelor's degree,free/reduced,none,67,75,72,908,female
group B,associate's degree,standard,completed,59,70,66,152,female
group C,some high school,standard,completed,76,80,73,801,male
group D,bachelor's degree,free/reduced,none,62,72,74,993,female
group E,associate's degree,standard,none,84,95,92,755,female
group C,high school,standard,none,62,55,49,111,male
group C,some college,standard,none,72,72,71,226,female
group A,high school,free/reduced,none,53,58,44,688,male
group B,high school,standard,completed,60,44,47,103,male
group D,high school,standard,completed,57,58,64,421,female
group E,high school,free/reduced,completed,57,56,54,419,male
group D,some high school,standard,completed,71,69,68,750,male
group A,high school,standard,none,55,73,73,586,female
group D,associate's degree,free/reduced,none,46,56,57,780,female
group C,some college,standard,none,69,78,76,672,female
group C,some college,standard,none,55,69,65,119,female
group D,high school,standard,none,88,78,75,53,male
group A,bachelor's degree,standard,none,77,67,68,151,male
group D,high school,standard,completed,88,99,100,403,female
group C,associate's degree,standard,none,54,61,58,945,female
group E,high school,standard,completed,81,80,76,207,male
group D,associate's degree,free/reduced,none,43,60,58,658,female
group B,some college,free/reduced,completed,74,77,76,843,male
group D,some high school,standard,completed,78,81,86,762,male
group D,high school,free/reduced,completed,64,64,67,8,male
group E,high school,free/reduced,none,41,45,40,807,female
group D,associate's degree,standard,none,74,81,83,36,female
group C,associate's degree,free/reduced,none,65,77,74,452,female
group A,high school,standard,completed,68,80,76,651,female
group D,master's degree,standard,none,80,80,72,253,male
group B,associate's degree,standard,none,80,76,64,303,male
group D,high school,standard,none,69,75,71,746,male
group A,bachelor's degree,standard,none,91,96,92,571,male
group A,some college,standard,completed,100,96,86,623,male
group C,some college,standard,completed,87,89,94,732,female
group E,associate's degree,standard,none,85,92,85,891,female
group C,some high school,free/reduced,none,44,50,51,262,female
group D,some college,free/reduced,completed,69,60,63,610,male
group E,associate's degree,standard,completed,71,74,68,297,male
group C,bachelor's degree,free/reduced,completed,51,72,79,414,female
group A,some high school,standard,completed,62,67,69,150,male
group C,associate's degree,free/reduced,none,68,65,61,788,male
group D,high school,standard,none,41,52,51,640,male
group D,high school,free/reduced,none,44,51,48,889,male
group C,some high school,free/reduced,none,79,76,65,550,male
group E,associate's degree,standard,completed,93,100,95,886,female
group B,some high school,standard,completed,64,53,57,488,male
group C,associate's degree,free/reduced,none,73,68,66,147,male
group B,some high school,standard,none,88,84,75,146,male
group C,some college,free/reduced,none,62,72,70,720,female
group D,some college,free/reduced,none,62,57,62,931,male
group C,high school,free/reduced,none,61,60,55,739,male
group D,associate's degree,standard,none,90,87,85,659,male
group D,high school,free/reduced,none,75,74,66,348,male
group C,some college,free/reduced,none,77,90,91,463,female
group C,some college,standard,none,82,90,94,325,female
group E,high school,standard,none,80,76,65,186,male
group D,high school,free/reduced,none,63,57,56,123,male
group E,some high school,standard,none,82,67,61,853,male
group E,some college,standard,none,61,64,62,608,female
group A,high school,standard,none,57,43,47,143,male
group D,high school,standard,none,45,63,59,958,female
group E,high school,free/reduced,none,55,56,51,197,male
group B,associate's degree,standard,none,58,63,65,609,female
group B,bachelor's degree,free/reduced,none,73,56,57,279,male
group E,bachelor's degree,standard,none,65,73,75,293,female
group C,some high school,standard,completed,59,54,67,400,female
group C,some college,standard,completed,88,93,93,122,female
group D,associate's degree,standard,none,65,69,70,183,female
group C,associate's degree,standard,none,69,77,69,202,male
group C,high school,standard,none,70,56,51,438,male
group E,associate's degree,standard,none,89,76,74,246,male
group E,high school,standard,none,84,73,69,415,male
group D,associate's degree,free/reduced,completed,61,71,73,932,male
group B,high school,standard,none,74,72,72,765,female
group B,high school,standard,none,57,48,51,906,male
group C,high school,standard,completed,60,64,74,835,female
group C,high school,free/reduced,none,54,72,59,887,male
group A,bachelor's degree,standard,none,51,49,51,129,female
group D,some high school,standard,completed,80,92,88,637,female
group A,some college,free/reduced,none,49,65,55,402,female
group C,bachelor's degree,standard,completed,91,81,79,784,male
group B,high school,standard,none,52,48,49,770,male
group C,master's degree,standard,none,67,57,59,735,male
group C,bachelor's degree,free/reduced,completed,47,62,66,913,female
group B,some high school,standard,completed,61,56,56,219,male
group D,associate's degree,free/reduced,completed,74,88,90,641,female
group E,some college,standard,none,68,70,66,915,female
group C,master's degree,free/reduced,completed,79,77,75,752,male
group D,some college,free/reduced,none,64,74,75,806,female
group B,some college,standard,completed,91,96,91,919,male
group E,bachelor's degree,free/reduced,none,61,58,62,624,female
group C,bachelor's degree,free/reduced,none,43,62,61,874,female
group C,high school,free/reduced,none,53,72,64,760,female
group E,bachelor's degree,standard,none,64,73,70,386,female
group A,high school,free/reduced,completed,53,50,60,972,female
group C,bachelor's degree,standard,none,86,92,87,509,female
group D,high school,standard,none,69,72,77,267,female
group C,some high school,standard,none,77,91,88,819,female
group D,high school,standard,none,78,81,80,441,female
group C,some college,standard,none,54,48,52,496,female
group A,associate's degree,standard,none,54,53,47,112,male
group E,associate's degree,free/reduced,none,73,76,78,691,female
group B,bachelor's degree,standard,none,67,86,83,232,female
group C,associate's degree,free/reduced,none,49,51,51,869,male
group C,master's degree,free/reduced,none,40,58,54,607,female
group D,associate's degree,free/reduced,none,52,57,50,671,male
group D,some college,standard,completed,82,97,96,373,female
group D,some high school,standard,none,81,78,78,981,male
group B,high school,free/reduced,completed,23,44,36,842,female
group E,some high school,standard,none,92,87,78,233,male
group B,some high school,standard,completed,32,51,44,785,female
group E,some college,standard,completed,73,78,76,676,female
group C,associate's degree,standard,none,83,72,78,317,male
group B,high school,standard,none,50,53,55,648,female
group D,master's degree,standard,completed,70,71,74,410,female
group D,associate's degree,standard,completed,67,54,63,898,male
group D,associate's degree,free/reduced,completed,42,61,58,709,female
group D,some college,free/reduced,none,59,62,61,358,male
group B,some college,standard,none,70,75,78,258,female
group B,some college,free/reduced,none,55,55,47,744,male
group D,associate's degree,standard,none,61,48,46,627,male
