id,area,rooms,location,price
1303,48,2,B,258000
1304,62,2,B,272000
1305,198,1,A,413000
1306,191,4,B,411000
1307,60,3,A,285000
1308,56,1,C,261000
1309,124,2,B,334000
1310,30,1,B,235000
1311,193,5,C,418000
1312,50,1,C,255000
1313,196,5,C,421000
1314,179,2,A,399000
1315,41,2,A,261000
1316,183,5,C,408000
1317,30,4,A,260000
1318,32,5,A,267000
1319,191,1,C,396000
1320,88,4,A,318000
1321,185,3,A,410000
1322,70,5,A,305000
1323,113,3,C,328000
1324,194,5,C,419000
1325,147,2,B,357000
1326,156,2,C,366000
1327,138,5,B,363000
1328,70,4,B,290000
1329,182,2,B,392000
1330,175,5,C,400000
1331,34,3,B,249000
1332,59,1,A,274000
1333,80,4,A,310000
1334,156,3,A,381000
1335,35,4,C,255000
1336,42,4,C,262000
1337,45,5,C,270000
1338,167,5,B,392000
1339,129,4,B,349000
1340,170,5,B,395000
1341,184,1,B,389000
1342,72,3,A,297000
1343,146,4,A,376000
1344,132,1,C,337000
1345,112,1,B,317000
1346,134,5,C,359000
1347,175,5,C,400000
1348,126,3,A,351000
1349,59,3,A,284000
1350,194,5,A,429000
1351,92,4,C,312000
1352,158,4,A,388000
1353,179,3,C,394000
1354,119,3,B,334000
1355,186,4,A,416000
1356,154,4,A,384000
1357,40,3,A,265000
1358,32,2,A,252000
1359,146,5,B,371000
1360,125,5,C,350000
1361,54,2,C,264000
1362,79,5,B,304000
1363,183,4,A,413000
1364,124,2,A,344000
1365,30,5,C,255000
1366,150,2,B,360000
1367,190,4,B,410000
1368,98,1,B,303000
1369,150,5,B,375000
1370,151,2,C,361000
1371,156,4,C,376000
1372,149,5,B,374000
1373,179,3,A,404000
1374,41,1,A,256000
1375,103,2,A,323000
1376,140,2,A,360000
1377,54,4,C,274000
1378,112,1,C,317000
1379,82,2,B,292000
1380,181,1,B,386000
1381,138,3,A,363000
1382,173,5,C,398000
1383,46,4,A,276000
1384,30,4,B,250000
1385,90,4,A,320000
1386,82,2,A,302000
1387,144,5,B,369000
1388,147,2,B,357000
1389,126,3,B,341000
1390,157,2,A,377000
1391,165,4,A,395000
1392,112,3,B,327000
1393,135,3,A,360000
1394,117,2,A,337000
1395,89,1,B,294000
1396,102,1,B,307000
1397,79,1,C,284000
1398,73,5,C,298000
1399,188,4,C,408000
1400,98,3,C,313000
